posted,item_id,recommend,user_id,sentiment_analysis
2011,1250,True,76561197970982479,2
2011,22200,True,76561197970982479,1
2013,227300,True,js41637,2
2013,239030,True,js41637,2
2016,248820,True,evcentric,2
2015,370360,True,evcentric,2
2014,237930,True,evcentric,1
2014,263360,True,evcentric,1
2014,107200,True,evcentric,2
2014,224500,True,evcentric,2
2013,250320,True,doctr,1
2012,20920,True,doctr,2
2012,204100,True,doctr,2
2014,224600,True,doctr,2
2012,207610,True,doctr,0
2012,108710,True,doctr,2
2014,211420,True,maplemage,1
2013,211820,True,maplemage,2
2014,730,True,maplemage,1
2013,204300,True,maplemage,2
2014,249130,True,Wackky,1
2012,207610,True,Wackky,0
2012,550,True,Wackky,1
2012,65800,True,Wackky,1
2012,220,True,Wackky,2
2016,730,True,76561198079601835,1
2016,730,True,MeaTCompany,2
2014,440,True,76561198089393905,1
2016,252950,True,76561198156664158,2
2016,440,True,76561198077246154,1
2014,304930,True,76561198077246154,1
2013,4000,True,WeiEDKrSat,1
2012,42910,True,thequeenpanda,1
2015,232090,True,death-hunter,0
2015,1250,True,death-hunter,1
2014,4000,True,death-hunter,2
2014,304930,True,DJKamBer,2
2013,224260,True,DJKamBer,2
2013,1250,True,DJKamBer,0
2012,440,True,DJKamBer,1
2015,730,True,Rainbow-Dashie,2
2014,440,True,Rainbow-Dashie,1
2014,49520,True,Rainbow-Dashie,1
2015,220200,True,MarbleShrine,2
2014,211820,True,PPanther,2
2014,440,True,devvonst,2
2014,218740,True,devvonst,1
2015,550,True,devvonst,1
2016,220,True,Fr0stedLine,1
2015,238090,True,starkillershadow553,2
2016,242130,True,starkillershadow553,1
2014,277430,True,starkillershadow553,2
2015,8870,True,76561198058373434,1
2015,368230,True,76561198048353577,1
2016,4000,True,76561198048353577,0
2013,33930,True,76561198048353577,2
2015,219640,True,76561198066046412,2
2015,287980,True,tru_mu_,2
2015,208090,True,76561198070565427,1
2014,242700,True,76561198070565427,1
2014,224260,True,76561198070565427,1
2015,221100,True,SavageEeEe,2
2014,331470,True,KanadeTheNeko,2
2014,4000,True,KanadeTheNeko,1
2016,323370,True,Leaf_Light_Moscow,1
2014,304930,True,GoAwayZach,2
2014,48700,True,76561198054540475,2
2016,238460,True,76561198085547365,2
2016,34900,True,76561198085547365,1
2015,730,True,76561198061252210,2
2013,113200,True,OfficialShroomsy,2
2014,440,True,boydeer,1
2015,213670,True,VVillis,1
2015,105600,True,76561198083226897,1
2015,730,True,76561198075277292,0
2012,620,True,76561198028895010,1
2016,4000,True,diego9031,1
2016,317360,True,diego9031,1
2015,223710,True,diego9031,1
2015,299360,True,diego9031,1
2015,322330,True,diego9031,1
2015,1250,True,diego9031,1
2015,12100,True,diego9031,1
2015,204360,True,diego9031,1
2013,440,True,diego9031,1
2013,224260,True,diego9031,1
2012,440,True,jarrodtrim,2
2016,304930,True,76561198078738103,2
2015,440,True,76561198067936203,2
2015,1840,True,76561198079770573,1
2013,440,True,76561198087586464,2
2015,440,True,Derp-e,2
2016,449140,True,76561198070194565,1
2016,368730,True,76561198070194565,1
2016,427270,True,76561198070194565,1
2016,397100,True,76561198070194565,1
2015,248570,True,76561198070194565,1
2015,298630,True,Rivtex,1
2015,440,True,UTNerd24,1
2015,376920,True,UTNerd24,2
2015,257750,True,UTNerd24,1
2014,221910,True,UTNerd24,1
2013,2280,True,UTNerd24,1
2015,417860,False,sandwiches1,1
2014,222880,True,lucaswerg,1
2015,377160,True,Life-Of-Blu,2
2013,211820,True,Life-Of-Blu,2
2015,252490,True,CaptianAutismo,1
2014,440,True,76561198075895633,2
2016,242920,True,TheDropix101,1
2014,251990,True,kube134,1
2015,344760,False,iamthekingofbrowntown,0
2015,252950,True,iamthekingofbrowntown,1
2016,236430,True,iamthekingofbrowntown,1
2015,399730,True,iamthekingofbrowntown,1
2016,550,True,MainScout,1
2015,377160,True,yookobz,2
2013,219150,True,yookobz,2
2014,277430,True,Posiblydead,2
2014,239820,True,Posiblydead,2
2012,17410,True,Posiblydead,2
2015,440,True,Mossy_Gaming,2
2015,270550,True,76561198102421718,2
2015,274940,True,76561198102421718,2
2014,440,True,76561198087407319,1
2014,730,True,76561198056741844,1
2016,294100,True,sad-commie,0
2014,212070,True,sad-commie,1
2014,264140,True,sad-commie,1
2014,332800,True,76561198030567998,1
2015,319630,True,76561198030567998,2
2015,6020,True,76561198030567998,0
2015,55230,True,76561198030567998,2
2014,32430,True,76561198030567998,2
2016,377160,False,76561198010674657,1
2016,440,True,76561198010674657,0
2015,35450,True,Coldaniel,2
2014,440,True,Coldaniel,1
2015,212680,True,therealmorty,1
2015,391540,True,Berserklejerker,2
2014,550,True,76561198061730629,1
2014,440,True,YoHuNz,1
2015,440,True,possessioniskey,2
2014,113400,True,possessioniskey,1
2014,440,True,76561198093112529,1
2015,200510,True,76561198060447950,1
2015,730,True,whiteofwolfing,2
2016,200210,True,76561198081962345,1
2014,1250,True,76561198081962345,1
2016,304050,True,76561198073210139,1
2015,265610,True,Nozomikat,1
2014,264200,True,Nozomikat,1
2015,417860,True,Nozomikat,1
2014,213670,True,Nozomikat,2
2013,210770,True,Nozomikat,2
2015,351640,True,xfluttersx,2
2016,202530,False,xfluttersx,2
2012,105600,True,xfluttersx,1
2014,440,True,xfluttersx,2
2013,47870,True,xfluttersx,2
2014,730,True,76561198056290589,2
2014,253710,False,ii_voltage_ii,2
2015,339280,True,ii_voltage_ii,2
2013,203290,True,ii_voltage_ii,2
2015,440,True,76561198097762318,1
2014,233150,True,76561198097762318,1
2013,550,True,Hirukaz,1
2015,730,True,StelerForYou,2
2013,211820,True,StelerForYou,2
2015,440,True,76561198183396245,2
2016,346330,False,Xx-Woods,1
2015,224260,True,Xx-Woods,2
2014,317360,True,Xx-Woods,1
2014,295550,True,Xx-Woods,1
2014,250180,True,Xx-Woods,1
2014,227940,True,Xx-Woods,1
2014,113420,True,Xx-Woods,1
2015,320760,True,kevinator23,0
2015,8850,True,kevinator23,2
2014,233720,True,kevinator23,2
2015,730,True,kevinator23,2
2014,220240,True,kevinator23,2
2012,440,True,kevinator23,1
2014,4000,True,76561198090715178,2
